Sample	Region	StartPos	EndPos	Length	Missing_Sites	Median_Cov	Mean_Cov	Min_Cov	Max_Cov	Genome_Norm_Cov	cov1x.perc	cov5x.perc	cov8x.perc	cov20x.perc	cov100x.perc	cov250x.perc	bam.mapped.filt.readcount
TP_Discriminatory_SA1_20230426_barcode02.filt	all_32	915022	915599	578	0	217	213.7	99	222	inf	100	100	100	100	99.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_33	915797	916385	589	0	99	100.3	55	123	inf	100	100	100	100	47.7	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_34	916316	916927	612	0	25	35.9	15	123	inf	100	100	100	98.9	10.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_33	915797	916385	589	0	99	100.3	55	123	inf	100	100	100	100	47.7	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_34	916316	916927	612	0	25	35.9	15	123	inf	100	100	100	98.9	10.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_35	955414	955953	540	0	170	168.2	110	175	inf	100	100	100	100	100	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_36	971030	971541	512	0	29	28.7	17	32	inf	100	100	100	99.6	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_37	978193	978721	529	0	17	16.5	6	18	inf	100	100	99.8	0	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_38	997551	998082	532	0	31	30.4	18	33	inf	100	100	100	99.6	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_39	1009874	1010466	593	0	97	96	32	102	inf	100	100	100	100	18.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_40	1019579	1020140	562	0	37	36.5	22	38	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_41	1034458	1035079	622	0	113	112.1	54	117	inf	100	100	100	100	97.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_42	1040128	1040683	556	0	112	110.9	53	115	inf	100	100	100	100	97.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_43	1042114	1042699	586	0	119	117.2	78	122	inf	100	100	100	100	97.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_44	1049123	1049683	561	0	85	83.7	49	87	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_45	1050866	1051480	615	0	101	99.4	52	104	inf	100	100	100	100	66.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_46	1054544	1055117	574	0	114	112.6	65	119	inf	100	100	100	100	96.2	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_47	1057344	1057901	558	0	250	246.6	155	256	inf	100	100	100	100	100	53.2	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_1	1062025	1062596	572	0	25	24	6	27	inf	100	100	99.7	97.4	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_48	1072022	1072554	533	0	142	139.1	21	148	inf	100	100	100	100	98.7	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_49	1091737	1092304	568	4	2	2	0	2	inf	99.3	0	0	0	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_50	1103444	1104030	587	0	35	34.8	15	37	inf	100	100	100	99.7	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_51	1104604	1105170	567	0	133	131.9	50	137	inf	100	100	100	100	99.1	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_53	1128360	1128923	564	0	123	120.2	16	125	inf	100	100	100	99.8	97.2	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_54	1130248	1130843	596	0	68	67.5	34	71	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	23S_scheme2_a1	235038	235591	554	187	103	66.9	0	107	inf	66.2	66.2	66.2	66.2	58.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	23S_scheme2_a2	283483	284036	554	187	121	78.9	0	126	inf	66.2	66.2	66.2	66.2	61.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	23S_scheme1_a1	234889	235403	515	1	104	99	0	107	inf	99.8	99.8	99.8	99.2	83.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	23S_scheme1_a2	283334	283848	515	1	123	117	0	126	inf	99.8	99.8	99.8	99.6	91.1	0	7522
TP_Discriminatory_SA1_20230426_barcode03.filt	all_27	6272	6850	579	0	63	62.5	41	65	inf	100	100	100	100	0	0	6032
TP_Discriminatory_SA1_20230426_barcode03.filt	all_52	6906	7491	586	0	56	55.9	37	59	inf	100	100	100	100	0	0	6032
