"Accession","cluster_limited"
"SRR8567168","15"
"SRR8567167","203"
"SRR8567162","23"
"SRR8567161","Other"
"SRR8567164","16"
"SRR8567163","14"
"SRR8567160","Other"
"SRR8567159","3"
"SRR8566559","1"
"SRR8566560","11"
"SRR8566561","1"
"SRR8566562","Other"
"SRR8566963","Other"
"SRR8566564","23"
"SRR8567080","203"
"SRR8567145","Other"
"SRR8566974","23"
"SRR8566978","1"
"SRR8566498","26"
"SRR8567044","38"
"SRR8567043","50"
"SRR8567042","Other"
"SRR8567041","7"
"SRR8567040","27"
"SRR8567039","203"
"SRR8567038","Other"
"SRR8567047","Other"
"SRR8566867","23"
"SRR8566868","Other"
"SRR8566865","1"
"SRR8566866","1"
"SRR8566871","Other"
"SRR8566872","1"
"SRR8566802","33"
"SRR8566870","26"
"SRR8566797","26"
"SRR8566864","Other"
"SRR8566712","22"
"SRR8566711","Other"
"SRR8566714","23"
"SRR8566713","15"
"SRR8566715","15"
"SRR8566718","Other"
"SRR8566717","Other"
"SRR8566710","38"
"SRR8566709","16"
"SRR8566612","Other"
"SRR8566830","23"
"SRR8566831","58"
"SRR8566832","38"
"SRR8566833","7"
"SRR8566834","Other"
"SRR8567283","23"
"SRR8567284","Other"
"SRR8567018","21"
"SRR8567017","23"
"SRR8567016","15"
"SRR8567015","58"
"SRR8567013","77"
"SRR8567012","33"
"SRR8567011","Other"
"SRR8567020","14"
"SRR8567019","14"
"SRR8566534","7"
"SRR8566535","203"
"SRR8566532","203"
"SRR8566533","14"
"SRR8566538","1"
"SRR8566539","Other"
"SRR8566536","Other"
"SRR8566537","Other"
"SRR8566540","27"
"SRR8566803","Other"
"SRR8566806","23"
"SRR8566808","Other"
"SRR8566807","Other"
"SRR8566810","44"
"SRR8566812","21"
"SRR8566811","44"
"SRR8567189","44"
"SRR8567190","93"
"SRR8567181","Other"
"SRR8567184","Other"
"SRR8567183","Other"
"SRR8567178","50"
"SRR8567177","86"
"SRR8566908","Other"
"SRR8567179","Other"
"SRR8567171","Other"
"SRR8566994","180"
"SRR8566574","Other"
"SRR8566572","Other"
"SRR8566569","Other"
"SRR8567185","203"
"SRR8567186","15"
"SRR8567045","Other"
"SRR8567188","Other"
"SRR8567196","44"
"SRR8567197","93"
"SRR8566938","11"
"SRR8566937","38"
"SRR8566936","14"
"SRR8566935","15"
"SRR8566941","93"
"SRR8566940","38"
"SRR8566939","Other"
"SRR8566945","Other"
"SRR8567007","Other"
"SRR8567010","Other"
"SRR8567133","Other"
"SRR8567131","58"
"SRR8567132","33"
"SRR8567129","26"
"SRR8567130","1"
"SRR8567005","26"
"SRR8567006","Other"
"SRR8566686","1"
"SRR8566685","180"
"SRR8566688","Other"
"SRR8566687","1"
"SRR8566682","16"
"SRR8566681","Other"
"SRR8567269","Other"
"SRR8566683","15"
"SRR8566678","38"
"SRR8566677","Other"
"SRR8566652","Other"
"SRR8566653","15"
"SRR8566655","1"
"SRR8566656","Other"
"SRR8566657","7"
"SRR8566658","15"
"SRR8566659","Other"
"SRR8566660","Other"
"SRR8566661","Other"
"SRR8566760","230"
"SRR8566759","Other"
"SRR8566758","7"
"SRR8566757","277"
"SRR8566884","1"
"SRR8566883","38"
"SRR8566881","15"
"SRR8566570","Other"
"SRR8566567","77"
"SRR8566565","93"
"SRR8566566","Other"
"SRR8567128","21"
"SRR8567127","Other"
"SRR8567126","21"
"SRR8567125","21"
"SRR8567124","4"
"SRR8567123","23"
"SRR8567122","15"
"SRR8567121","38"
"SRR8567136","Other"
"SRR8567135","7"
"SRR8566927","203"
"SRR8566543","58"
"SRR8566929","23"
"SRR8566930","Other"
"SRR8566931","38"
"SRR8566932","Other"
"SRR8566933","58"
"SRR8566934","Other"
"SRR8566919","38"
"SRR8566596","Other"
"SRR8566591","23"
"SRR8566822","Other"
"SRR8566821","15"
"SRR8567191","26"
"SRR8567192","7"
"SRR8566880","Other"
"SRR8566879","Other"
"SRR8567051","11"
"SRR8567050","Other"
"SRR8567049","38"
"SRR8567055","38"
"SRR8567053","Other"
"SRR8567058","22"
"SRR8566877","22"
"SRR8566878","203"
"SRR8566820","26"
"SRR8567157","58"
"SRR8566873","14"
"SRR8566874","Other"
"SRR8566875","58"
"SRR8566876","Other"
"SRR8567037","Other"
"SRR8567187","Other"
"SRR8567182","Other"
"SRR8566823","26"
"SRR8566826","23"
"SRR8566825","Other"
"SRR8567225","Other"
"SRR8566827","Other"
"SRR8566675","2"
"SRR8566676","2"
"SRR8566673","15"
"SRR8566674","38"
"SRR8566679","Other"
"SRR8566680","21"
"SRR8567255","21"
"SRR8567256","33"
"SRR8567268","86"
"SRR8566684","38"
"SRR8566847","38"
"SRR8566846","7"
"SRR8566845","Other"
"SRR8566844","58"
"SRR8566851","203"
"SRR8566850","16"
"SRR8566849","Other"
"SRR8566848","Other"
"SRR8566838","Other"
"SRR8566773","23"
"SRR8566777","14"
"SRR8566706","23"
"SRR8566707","Other"
"SRR8566700","Other"
"SRR8566701","Other"
"SRR8566703","23"
"SRR8566862","44"
"SRR8566697","Other"
"SRR8566616","58"
"SRR8566617","Other"
"SRR8566614","21"
"SRR8566615","93"
"SRR8566620","21"
"SRR8566621","16"
"SRR8566618","58"
"SRR8566619","38"
"SRR8566610","23"
"SRR8566611","38"
"SRR8567243","93"
"SRR8567242","14"
"SRR8567245","Other"
"SRR8567244","15"
"SRR8567247","14"
"SRR8567246","4"
"SRR8567249","Other"
"SRR8567248","21"
"SRR8567239","Other"
"SRR8567238","180"
"SRR8566836","23"
"SRR8566837","11"
"SRR8566556","Other"
"SRR8566573","7"
"SRR8566840","15"
"SRR8566841","15"
"SRR8566842","15"
"SRR8566843","14"
"SRR8566689","Other"
"SRR8566690","Other"
"SRR8567093","180"
"SRR8567092","23"
"SRR8567090","16"
"SRR8567089","Other"
"SRR8567088","Other"
"SRR8567087","Other"
"SRR8567086","Other"
"SRR8567085","15"
"SRR8567084","11"
"SRR8567144","Other"
"SRR8567141","15"
"SRR8567142","15"
"SRR8567139","58"
"SRR8567140","38"
"SRR8567137","Other"
"SRR8567138","86"
"SRR8567146","180"
"SRR8567147","180"
"SRR8566863","203"
"SRR8566696","93"
"SRR8566698","Other"
"SRR8566692","1"
"SRR8566694","23"
"SRR8566705","93"
"SRR8566704","Other"
"SRR8567211","26"
"SRR8567212","Other"
"SRR8567213","96"
"SRR8567214","33"
"SRR8567208","Other"
"SRR8567209","3"
"SRR8567270","23"
"SRR8567271","Other"
"SRR8566958","Other"
"SRR8566957","33"
"SRR8566956","Other"
"SRR8566955","Other"
"SRR8566962","Other"
"SRR8566961","93"
"SRR8566960","Other"
"SRR8566959","15"
"SRR8566950","26"
"SRR8566949","Other"
"SRR8567158","15"
"SRR8567172","38"
"SRR8567169","Other"
"SRR8567170","Other"
"SRR8567175","180"
"SRR8567176","1"
"SRR8567165","15"
"SRR8567174","Other"
"SRR8566780","21"
"SRR8567180","180"
"SRR8566920","203"
"SRR8566523","11"
"SRR8566922","Other"
"SRR8566921","Other"
"SRR8566924","Other"
"SRR8566923","2"
"SRR8566926","44"
"SRR8566925","27"
"SRR8566928","3"
"SRR8566542","58"
"SRR8567204","Other"
"SRR8567203","77"
"SRR8567206","11"
"SRR8567205","203"
"SRR8567200","3"
"SRR8567199","180"
"SRR8567202","1"
"SRR8567201","50"
"SRR8567217","33"
"SRR8567272","159"
"SRR8566593","4"
"SRR8566594","311"
"SRR8567009","Other"
"SRR8566592","Other"
"SRR8566589","26"
"SRR8566590","3"
"SRR8566587","Other"
"SRR8566588","Other"
"SRR8566597","1"
"SRR8566598","Other"
"SRR8567075","14"
"SRR8567074","Other"
"SRR8567073","3"
"SRR8567072","23"
"SRR8567079","Other"
"SRR8567078","Other"
"SRR8567077","Other"
"SRR8567076","231"
"SRR8567067","Other"
"SRR8567066","180"
"SRR8567252","Other"
"SRR8566774","180"
"SRR8566775","311"
"SRR8566776","23"
"SRR8566782","77"
"SRR8566781","50"
"SRR8566784","Other"
"SRR8566783","Other"
"SRR8566786","Other"
"SRR8566785","Other"
"SRR8566788","15"
"SRR8566787","15"
"SRR8566779","1"
"SRR8566778","11"
"SRR8566790","311"
